name,address,website,phone_number,email,facebook,instagram,twitter,linkedin
"Michael Block, Attorney At Law P.C.","277 Broadway #708, New York, NY 10007, États-Unis",michaelblocklawyer.com,+1 212-227-9008,MichaelBlock.Law@Gmail.Com,https://www.facebook.com/michaelblocklawyer/,None,None,https://www.linkedin.com/in/michaelblocklawyer/
"Lipsig, Shapey, Manus & Moverman, P.C.","40 Fulton St 24th floor, New York, NY 10038, États-Unis",lipsig.com,+1 516-908-5614,None,None,None,None,None
"Stephen Bilkis & Associates, PLLC","100 Park Ave 16th floor, New York, NY 10017, États-Unis",familylawyer.1800nynylaw.com,+1 212-254-6800,None,https://www.facebook.com/New,None,https://twitter.com/1800nynylaw,https://www.linkedin.com/company/law-offices-of-stephen-bilkis-
Tacopina Seigel & DeOreo - Criminal Lawyers in NYC,"275 Madison Ave Suite 3500, New York, NY 10016, États-Unis",tacopinalaw.com,+1 212-227-8877,None,https://www.facebook.com/tacopinalawfirm,https://www.instagram.com/tacopinalaw/,https://twitter.com/TacopinaLaw/,https://www.linkedin.com/company/law-offices-of-tacopina-seigel-
"Ginarte Gonzalez & Winograd, LLP","233 Broadway 24th floor, New York, NY 10279, États-Unis",ginarte.com,+1 212-601-9700,info@ginartelaw.com,https://www.facebook.com/Ginarte,None,https://twitter.com/Ginarte_Law,None
"Law Office of Richard Roman Shum, Esq | Divorce Lawyer","20 Clinton St Apt 5d, New York, NY 10002, États-Unis",romanshum.com,+1 646-259-3416,richard@romanshum.com,https://www.facebook.com/wustl/,https://www.instagram.com/washu/,https://twitter.com/wustl/,https://www.linkedin.com/company/emerson-college
"Hansen & Rosasco, LLP","250 Broadway Suite 600, New York, NY 10007, États-Unis",911victimlawyer.com,+1 212-210-1762,None,https://www.facebook.com/911CancerCompensationClaims,https://www.instagram.com/911cancerclaim/,https://twitter.com/911cancerlawyer,https://www.linkedin.com/company/hansenandrosasco911cancervictimslawyers/
Norman Spencer Law Group PC,"52 Duane St, New York, NY 10007, États-Unis",nycriminallawyers.com,+1 212-577-6677,ns@normanspencerlaw.com,None,None,https://twitter.com/nslawgrouppc,https://www.linkedin.com/in/norman-spencer-141437312/
Legal Referral Service,"42 W 44th St, New York, NY 10036, États-Unis",nycbar.org,+1 212-626-7373,lrs@nycbar.org,https://www.facebook.com/tr,None,https://twitter.com/NYCBarLRS,None
Rosenbaum Personal Injury Lawyers,"100 Wall St 24th floor, New York, NY 10005, États-Unis",rosenbaumnylaw.com,+1 516-430-4410,info@rosenbaumnylaw.com,https://www.facebook.com/Rosenbaumny/,None,https://twitter.com/RosenbaumNYLaw/,https://www.linkedin.com/company/rosenbaum-
Christopher Tompkins - Attorney At Law,"225 Broadway suite 2020, New York, NY 10007, États-Unis",ny-legal-name-change-lawyer.com,+1 212-962-5363,NameChangeLawyer@gmail.com,None,None,None,None
"Mark I. Cohen, ESQ","20 Vesey St # 1200, New York, NY 10007, États-Unis",markicohenattorneynyc.com,+1 212-732-0002,None,https://www.facebook.com/people/,None,https://twitter.com/markicohen,https://www.linkedin.com/in/mark-i-cohen-874b022a/
"Jeffrey B. Peltz, P.C.","225 Broadway # 1900, New York, NY 10007, États-Unis",aaalawyer.com,+1 718-625-0800,info@aaalawyer.com,https://www.facebook.com/JeffreyBPeltzPC,None,None,https://www.linkedin.com/in/jeffreypeltz
Romano Law,"One Battery Park Plaza, Battery Pl 7th Floor, New York, NY 10004, États-Unis",romanolaw.com,+1 516-518-3439,None,https://www.facebook.com/RomanoLaw,https://www.instagram.com/romanolaw/,https://twitter.com/romano_law,https://www.linkedin.com/company/romano-law-pllc
